municipality,roll_no_txt,civic_address,dwelling_units,classes,event_year,kind,confidence,buildings,buildings_prev,gain,is_primary,legal_description
152 - RM OF MORRIS,199678.000,,8,R2,2021,new_roll,med,1283000,0,1283000,TRUE,1--65537
500 - CITY OF BRANDON,125773.000,2605 ROSSER AVE,8,R2,2021,appeared,high,1261400,0,1261400,TRUE,1/2-82-15
451 - CITY OF STEINBACH,24800.000,70 FIRST ST,20,R2,2021,appeared,high,1232900,0,1232900,FALSE,DESC A--67665
451 - CITY OF STEINBACH,464540.000,42 ASHFORD LANE,10,R2,2021,appeared,high,1218000,0,1218000,TRUE,18--54371
135 - RM OF HANOVER,144000.091,28 BARAK DR,18,R2,2021,appeared,high,1052600,0,1052600,TRUE,65--56022
351 - TOWN OF STE. ANNE,42500.000,418 CENTRAL AVE,16,R2,2021,expanded,high,2023200,974600,1048600,TRUE,1-29623
463 - CITY OF WINKLER,331305.000,1108 Schooner DR,8,R2,2021,appeared,high,994200,0,994200,TRUE,11-5-62132
500 - CITY OF BRANDON,85308.000,539 3RD ST,6,R2,2021,appeared,high,975100,0,975100,TRUE,25/26-79-8
433 - CITY OF MORDEN,340135.000,Unit 8 - 111 9th ST S,7,R3,2021,new_roll,med,938100,0,938100,TRUE,DESC 8-66477
433 - CITY OF MORDEN,42000.000,230 9TH ST S,18,R2,2021,expanded,high,1157900,275500,882400,FALSE,2--67767
451 - CITY OF STEINBACH,24300.000,44 FIRST ST,8,R2,2021,expanded,high,921300,55800,865500,TRUE,DESC 9--4595
340 - TOWN OF NIVERVILLE,2000.000,50 - 58 2ND ST N,5,R2,2021,expanded,high,848900,54600,794300,TRUE,8-6-19955
451 - CITY OF STEINBACH,219800.000,186 CHAPEL DR,18,R2,2021,expanded,high,2246300,1468300,778000,FALSE,DESC 8-1-15621
451 - CITY OF STEINBACH,2480.000,209 STONE BRIDGE CROS,8,R2,2021,expanded,high,847100,71400,775700,TRUE,12-4833
451 - CITY OF STEINBACH,464536.000,51 ASHFORD LANE,22,R2,2021,appeared,high,708600,0,708600,FALSE,16/17--54371
463 - CITY OF WINKLER,28800.000,342 2ND ST,6,R2,2021,appeared,high,664600,0,664600,TRUE,15/16-1-244
465 - TOWN OF WINNIPEG BEACH,39700.000,268 NO 9 HWY,6,R2,2021,appeared,high,586200,0,586200,TRUE,DESC 6-7-2831
500 - CITY OF BRANDON,296228.000,1534 10TH ST,4,R1,2021,appeared,high,561800,0,561800,TRUE,15/16-1-289
463 - CITY OF WINKLER,27000.000,195 6TH ST,6,R2,2021,appeared,high,558100,0,558100,TRUE,1--65699
500 - CITY OF BRANDON,146811.000,618 12TH ST,4,R1,2021,appeared,high,552000,0,552000,TRUE,34/35-29-16
500 - CITY OF BRANDON,69757.000,1053 8TH ST,4,R1,2021,appeared,high,538700,0,538700,TRUE,35/37-34-7
119 - RM OF DE SALABERRY,70150.000,110 CHEM EAST LAKESHORE RD,9,OTHER,2021,expanded,high,816200,287900,528300,TRUE,DESC C--54316
163 - RM OF PORTAGE LA PRAIRIE,769200.000,405 3RD AVE,4,R1,2021,appeared,high,487700,0,487700,TRUE,13/15-328
435 - TOWN OF MORRIS,40850.000,40 55 70 REBECCA COVE,12,R1,2021,expanded,high,1040300,598200,442100,TRUE,4&10--23502
500 - CITY OF BRANDON,149674.000,847 11TH ST,3,R1,2021,appeared,high,436800,0,436800,TRUE,DESC 15/16-37-16
447 - CITY OF SELKIRK,81100.000,209 EATON AVE,7,R2,2021,expanded,high,449400,83200,366200,TRUE,6/7--10542L
164 - MUNICIPALITY OF RHINELAND,401150.000,311 MAIN AVE,4,R1,2021,expanded,high,166700,13900,152800,TRUE,3-33956
119 - RM OF DE SALABERRY,173800.000,76 BOURGEOIS AVE,3,R1,2021,expanded,high,223700,113900,109800,TRUE,DESC 19--530
201 - RM OF WEST ST. PAUL,39700.000,269 BALDERSTONE RD,59,R2,2020,appeared,high,13142300,0,13142300,TRUE,2/5--9317
500 - CITY OF BRANDON,560664.000,2005 TRACEY ST,116,R1,2020,expanded,low,18162100,7855300,10306800,TRUE,4--45570
500 - CITY OF BRANDON,561944.000,2200 PACIFIC AVE,128,R2,2020,expanded,low,18605400,8951100,9654300,FALSE,B--46903
208 - RM OF HEADINGLEY,80401.000,19 HEARTLAND TRL,24,R2,2020,appeared,high,5479900,0,5479900,TRUE,C--52525
449 - MUNICIPALITY OF SOURIS-GLENWOOD,118000.000,105 1ST ST S,18,OTHER|R2,2020,appeared,high,4781600,0,4781600,TRUE,7/17-11-21024
340 - TOWN OF NIVERVILLE,21900.000,79 4TH AVE S,22,R2,2020,appeared,high,3230500,0,3230500,TRUE,11-6-19956
340 - TOWN OF NIVERVILLE,21300.000,71 4TH AVE S,24,R2,2020,appeared,high,3141800,0,3141800,TRUE,10-6-19956
351 - TOWN OF STE. ANNE,59010.000,255 ST ALPHONSE AVE,43,R2,2020,expanded,low,6294800,3390000,2904800,FALSE,B&C--63058
351 - TOWN OF STE. ANNE,42408.000,29 - 35 SEINE RIVER CROSSING,20,R2,2020,appeared,high,2265900,0,2265900,TRUE,21/22--62854
447 - CITY OF SELKIRK,121301.000,85 MAIN ST,32,R2,2020,appeared,med,2297100,68400,2228700,TRUE,1-32-38
500 - CITY OF BRANDON,181909.000,927 26TH ST,8,OTHER|R2,2020,appeared,high,1956200,0,1956200,TRUE,7/10-40-720
451 - CITY OF STEINBACH,42270.000,29 CAMBRIDGE WAY,16,R2,2020,appeared,high,1932300,0,1932300,TRUE,C&D--55692
451 - CITY OF STEINBACH,4050.000,295 LOEWEN BLVD,33,R2,2020,expanded,low,3979400,2050600,1928800,FALSE,B&C--55373
500 - CITY OF BRANDON,235671.000,Unit D - 4151 MCTAVISH AVE,12,R2,2020,appeared,high,1920700,0,1920700,TRUE,1-59689
500 - CITY OF BRANDON,235705.000,Unit E - 4151 MCTAVISH AVE,12,R2,2020,appeared,high,1901600,0,1901600,TRUE,4-59689
500 - CITY OF BRANDON,235713.000,Unit F - 4151 MCTAVISH AVE,12,R2,2020,appeared,high,1868600,0,1868600,TRUE,5-59689
351 - TOWN OF STE. ANNE,42444.000,13 - 15 SEINE RIVER CROSSING,20,R2,2020,expanded,low,2573900,896800,1677100,TRUE,1/3--59476
351 - TOWN OF STE. ANNE,10500.000,46 LANGEVIN RD,19,R2,2020,appeared,high,1575400,0,1575400,TRUE,1--68958
451 - CITY OF STEINBACH,219800.000,186 CHAPEL DR,18,R2,2020,appeared,med,1468300,12000,1456300,TRUE,DESC 8-1-15621
175 - RM OF STE. ANNE,55198.000,149 DAWSON RD E,8,R2,2020,appeared,high,1332400,0,1332400,TRUE,16--47650
407 - TOWN OF CARBERRY,78000.000,555 MAIN ST,17,R2,2020,expanded,low,2871300,1609000,1262300,TRUE,2--75910
457 - TOWN OF THE PAS,250110.000,524 FAFORD AVE,45,R2,2020,expanded,low,2352300,1093900,1258400,TRUE,1-21240
729 - MEADOW PORTAGE-NORTHERN AFFAIRS ACT,419900.000,PR 276,86,R1,2020,expanded,low,2306300,1071000,1235300,TRUE,2--59307
451 - CITY OF STEINBACH,220710.000,83 CHRYSLER GATE,8,R2,2020,appeared,high,1060100,0,1060100,TRUE,1--62346
451 - CITY OF STEINBACH,220715.000,87 CHRYSLER GATE,8,R2,2020,appeared,high,1060100,0,1060100,TRUE,2--62346
500 - CITY OF BRANDON,85357.000,563 3RD ST,6,R2,2020,appeared,high,987700,0,987700,TRUE,29/30-79-8
431 - TOWN OF MINNEDOSA,75050.000,140 3RD AVE SW,8,R2,2020,appeared,med,992600,13500,979100,TRUE,1/10-13-4
351 - TOWN OF STE. ANNE,44010.000,744 TRAVERSE RD,24,R2,2020,expanded,low,1784800,824100,960700,TRUE,2-25954
500 - CITY OF BRANDON,150631.000,655 11TH ST,6,R2,2020,appeared,high,884100,0,884100,TRUE,DESC 18/20-39-16
331 - HAMIOTA MUNICIPALITY,46300.000,74 MAPLE AVE E,8,R2,2020,appeared,high,824600,0,824600,TRUE,DESC 3-2-26063
189 - RM OF SPRINGFIELD,695700.000,Unit 862 - 868 WEISER CRES,12,R2,2020,expanded,low,1414900,603700,811200,TRUE,2--61534
153 - MUNICIPALITY OF BOISSEVAIN-MORTON,262700.000,550 MILL RD,6,OTHER|R2,2020,expanded,low,736000,87500,648500,TRUE,DESC 25/26-12-403
411 - CITY OF DAUPHIN,278500.000,327 - 331 6TH AVE SE,8,R1,2020,appeared,high,646800,0,646800,TRUE,1-1377
451 - CITY OF STEINBACH,103600.000,510 WILSON ST,29,INST,2020,expanded,low,1548500,924900,623600,FALSE,2--70218
455 - TOWN OF SWAN RIVER,159500.000,440 CURRIE RD N,4,R1,2020,appeared,high,540700,0,540700,TRUE,8-1-2315
163 - RM OF PORTAGE LA PRAIRIE,755800.000,102 2nd ST,4,R1,2020,appeared,high,488800,0,488800,TRUE,DESC 1/3-2-226
435 - TOWN OF MORRIS,40850.000,40 55 70 REBECCA COVE,12,R1,2020,expanded,low,598200,259600,338600,FALSE,4&10--23502
133 - RM OF GREY,96750.000,78 GORDON AVE,13,R2,2020,expanded,low,578800,254600,324200,TRUE,DESC 3-3-2024
129 - RM OF GIMLI,355000.000,31 - 33 CENTRE ST,3,OTHER|R1,2020,expanded,low,641600,353100,288500,TRUE,DESC 31/32-5-17671L
550 - CITY OF PORTAGE LA PRAIRIE,196500.000,104 ROYAL RD N,4,R2,2020,expanded,low,317900,47400,270500,TRUE,483/485-12
457 - TOWN OF THE PAS,57450.000,627 CATHEDRAL AVE,36,OTHER|R2,2020,expanded,low,686800,434800,252000,TRUE,DESC 1/3&20/22-7A-562
124 - RM OF ELTON,49210.000,60028 ROAD 109W,3,OTHER|R1,2020,expanded,low,445600,213600,232000,TRUE,1-31646
500 - CITY OF BRANDON,179572.000,861 22ND ST,4,R1,2020,expanded,low,499500,314500,185000,TRUE,DESC 18/20-29-720
175 - RM OF STE. ANNE,65620.000,42122 46 RD N,5,R1,2020,appeared,high,168400,0,168400,TRUE,2--62558
550 - CITY OF PORTAGE LA PRAIRIE,174600.000,61 TUPPER ST S,7,R2,2020,expanded,low,188700,41700,147000,TRUE,117/118--12
500 - CITY OF BRANDON,28803.000,115 3RD ST,3,R1,2020,expanded,low,394300,255600,138700,TRUE,25/26-67-2
151 - RM OF MONTCALM,124400.000,151 - 153 CARON ST,3,R1,2020,expanded,low,271000,142100,128900,TRUE,B&D--58087
500 - CITY OF BRANDON,419408.000,2235 BRANDON AVE,3,R1,2020,expanded,low,254600,143400,111200,TRUE,10-1495
500 - CITY OF BRANDON,2923.000,420 7TH ST,3,R1,2020,expanded,low,197500,86700,110800,TRUE,7/8-7-2
411 - CITY OF DAUPHIN,165000.000,436 - 440 1ST AVE NE,4,R1,2020,expanded,low,164500,57200,107300,TRUE,DESC 9-83-379
409 - TOWN OF CARMAN,19700.000,80 & 82 MAIN ST S,3,OTHER|R1,2020,expanded,low,233900,127700,106200,TRUE,41/43-5-33408
550 - CITY OF PORTAGE LA PRAIRIE,234200.000,120 LORNE AVE E,3,R1,2020,expanded,low,180700,79100,101600,TRUE,DESC 14/15--24
340 - TOWN OF NIVERVILLE,33205.000,161/171 2ND AVE S,49,INST|OTHER,2019,appeared,high,12324200,0,12324200,TRUE,1/50-66069
208 - RM OF HEADINGLEY,104940.000,,84,R2,2019,appeared,high,11145100,0,11145100,TRUE,4/5--50318
500 - CITY OF BRANDON,560664.000,2005 TRACEY ST,116,R1,2019,appeared,high,7855300,0,7855300,FALSE,4--45570
500 - CITY OF BRANDON,203299.000,2105 BRANDON AVE,63,INST|R2,2019,appeared,high,6405300,0,6405300,TRUE,1--58054
453 - TOWN OF STONEWALL,86605.000,622 CENTRE AVE,194,INST|R2,2019,expanded,high,16461500,10578700,5882800,TRUE,1-30771
351 - TOWN OF STE. ANNE,59010.000,255 ST ALPHONSE AVE,43,R2,2019,new_roll,med,3390000,0,3390000,TRUE,B&C--63058
451 - CITY OF STEINBACH,5208.000,67 - 85 PARKVIEW CRES,102,R2,2019,expanded,high,5889200,2558500,3330700,TRUE,DESC 9-7-22520
451 - CITY OF STEINBACH,62100.000,248 HANOVER ST,24,R2,2019,appeared,high,2690200,60100,2630100,TRUE,DESC 1/24-63247
194 - RM OF TACHE,107340.000,237 MARCOUX AVE,48,R2,2019,expanded,high,4741400,2227200,2514200,TRUE,1/48-59650
116 - RM OF CORNWALLIS,105670.000,,66,R1|R2,2019,expanded,high,4195500,1726700,2468800,TRUE,DESC NE1&SE1-10-17W
447 - CITY OF SELKIRK,49600.000,215 REID AVE,37,R2,2019,expanded,high,3737500,1831400,1906100,TRUE,DESC 13/14--9327L
500 - CITY OF BRANDON,235689.000,Unit C - 4151 MCTAVISH AVE,12,R2,2019,appeared,high,1735200,0,1735200,TRUE,2-59689
500 - CITY OF BRANDON,235721.000,Unit A - 4151 MCTAVISH AVE,12,R2,2019,appeared,high,1720300,0,1720300,TRUE,6-59689
196 - MUNICIPALITY OF KILLARNEY-TURTLE MOUNTAIN,361500.000,411 MOUNTAIN AVE,10,R2,2019,appeared,high,1649300,0,1649300,TRUE,21/25-24-404
105 - MUNICIPALITY OF BIFROST-RIVERTON,421910.000,64 MAIN ST N,39,R2,2019,expanded,high,2955200,1381800,1573400,TRUE,2/3--45039
431 - TOWN OF MINNEDOSA,101300.000,169 MAIN ST S,42,R2,2019,expanded,high,2486400,965000,1521400,TRUE,DESC 37/38-11-4
351 - TOWN OF STE. ANNE,42440.000,17 SEINE RIVER CROSSING,12,R2,2019,appeared,high,1369300,0,1369300,TRUE,4/5--59476
363 - TOWN OF TEULON,37800.000,137 FIFTH AVE SE,12,R2,2019,appeared,high,1291000,0,1291000,TRUE,24-2371
447 - CITY OF SELKIRK,202100.000,602 - 608 CHRISTIE AVE,12,R2,2019,appeared,high,1237500,0,1237500,TRUE,A&B&C&D--58324
165 - RM OF RITCHOT,82400.000,430 MAIN ST,4,OTHER|R1,2019,appeared,high,1100900,0,1100900,TRUE,15-4930
351 - TOWN OF STE. ANNE,42444.000,13 - 15 SEINE RIVER CROSSING,20,R2,2019,appeared,high,896800,0,896800,FALSE,1/3--59476
500 - CITY OF BRANDON,31625.000,829 ROSSER AVE,8,OTHER|R1,2019,expanded,high,1043800,218300,825500,TRUE,DESC 24/26-76-2
351 - TOWN OF STE. ANNE,44010.000,744 TRAVERSE RD,24,R2,2019,appeared,high,824100,0,824100,FALSE,2-25954
455 - TOWN OF SWAN RIVER,313900.000,1331 1ST ST N,14,INST,2019,appeared,high,761900,0,761900,TRUE,1/2--63200
351 - TOWN OF STE. ANNE,37600.000,320 CENTRAL AVE,12,R2,2019,expanded,high,866400,190500,675900,TRUE,1-35100
500 - CITY OF BRANDON,58859.000,1439 6TH ST,4,R1,2019,expanded,high,748700,93900,654800,TRUE,26/28-4-7
500 - CITY OF BRANDON,147413.000,527 12TH ST,3,R1,2019,appeared,high,656500,5800,650700,TRUE,7/8-31-16
550 - CITY OF PORTAGE LA PRAIRIE,345000.000,635 DUFFERIN AVE E,6,R2,2019,appeared,high,618800,0,618800,TRUE,DESC 79/81-6-102
500 - CITY OF BRANDON,88724.000,517 FRANKLIN ST,4,R1,2019,appeared,high,612200,0,612200,TRUE,DESC 34/36-7-9
189 - RM OF SPRINGFIELD,695700.000,Unit 862 - 868 WEISER CRES,12,R2,2019,appeared,high,603700,0,603700,FALSE,2--61534
500 - CITY OF BRANDON,48769.000,139 LORNE AVE E,3,R1,2019,appeared,high,577000,0,577000,TRUE,1/3-22-4
500 - CITY OF BRANDON,41749.000,402 PARK ST,3,R1,2019,appeared,high,561100,0,561100,TRUE,10-5-4
437 - TOWN OF NEEPAWA,134000.000,474 SECOND AVE,4,R1,2019,appeared,high,545300,0,545300,TRUE,DESC 1--31047
208 - RM OF HEADINGLEY,106300.000,850 GREEN OAKS LANE,7,INST|R1,2019,expanded,high,1567600,1044700,522900,TRUE,DESC RL87/88-CH
500 - CITY OF BRANDON,63081.000,1315 8TH ST,3,R1,2019,appeared,high,490300,0,490300,TRUE,24/25-15-7
550 - CITY OF PORTAGE LA PRAIRIE,284300.000,64 3RD ST SE,5,R2,2019,expanded,high,491700,26200,465500,TRUE,10/11-11-21428
435 - TOWN OF MORRIS,7200.000,339 MAIN ST S,6,R2,2019,appeared,high,429700,0,429700,TRUE,9/10-7-15
135 - RM OF HANOVER,144000.075,12 BARAK DR,20,R2,2019,appeared,high,427300,0,427300,FALSE,1/4&A&B&C-63387
300 - TOWN OF ARBORG,41730.000,323 FIRST AVE,5,R2,2019,appeared,high,426000,0,426000,TRUE,3--57935
138 - RM OF LA BROQUERIE,115515.000,52 - 62 PROMENADE JEANNE DR,6,R2,2019,expanded,high,834300,413500,420800,TRUE,1--62627
449 - MUNICIPALITY OF SOURIS-GLENWOOD,16400.000,134 5th AVE W,5,R1,2019,expanded,high,713800,296300,417500,TRUE,1/4&6-2-27653
129 - RM OF GIMLI,30600.000,103052 PTH 9,26,INST,2019,expanded,high,1014200,605000,409200,TRUE,DESC SE9-18-4E
609 - MUNICIPALITY OF HARRISON PARK,51840.000,SPORTYS-OLD RED BARN,9,OTHER|R1,2019,expanded,high,843700,485100,358600,TRUE,5--5854
411 - CITY OF DAUPHIN,217200.000,102 RAILWAY AVE,4,R1,2019,appeared,high,299800,0,299800,TRUE,DESC 44/45-1-420
111 - MUNICIPALITY OF GRASSLAND,438605.000,216 QUEEN ST,4,R1,2019,appeared,high,298800,0,298800,TRUE,1--35741
139 - RM OF LAC DU BONNET,202100.000,46 & 50 Purves RD,3,R1,2019,expanded,high,457800,171100,286700,TRUE,B--35766
433 - CITY OF MORDEN,87100.000,65 STEPHEN ST,3,OTHER|R1,2019,expanded,high,549400,279800,269600,TRUE,DESC 13/15-21-863
463 - CITY OF WINKLER,7750.000,235 4TH ST,3,R1,2019,expanded,high,278500,61700,216800,TRUE,DESC 7-9-106
500 - CITY OF BRANDON,32045.000,943 ROSSER AVE,9,OTHER|R2,2019,expanded,high,426100,245800,180300,TRUE,DESC 24/26-77-2
124 - RM OF ELTON,49210.000,60028 ROAD 109W,3,OTHER|R1,2019,expanded,high,213600,37000,176600,FALSE,1-31646
500 - CITY OF BRANDON,20776.000,1540 PRINCESS AVE,4,R1,2019,expanded,high,285600,141800,143800,TRUE,DESC 21/24-49-2
437 - TOWN OF NEEPAWA,121300.000,244 HAMILTON ST,4,OTHER|R1,2019,expanded,high,185600,47200,138400,TRUE,3-5-26984
560 - CITY OF THOMPSON,233900.101,364 - 424 PRINCETON DR,273,R2,2018,appeared,med,15689100,77700,15611400,TRUE,7/8-175-847
189 - RM OF SPRINGFIELD,618790.000,800 JAFFRAY ST,47,R2,2018,appeared,high,9131300,0,9131300,TRUE,1--75688
163 - RM OF PORTAGE LA PRAIRIE,585500.000,,188,R1,2018,appeared,high,5646300,0,5646300,TRUE,B&C&D&E--49840
451 - CITY OF STEINBACH,14195.000,330 - 340 STONE BRIDGE CROS,131,INST|R2,2018,expanded,low,8036300,3320600,4715700,TRUE,2--65640
411 - CITY OF DAUPHIN,351500.000,201 HAWTHORNE AVE,50,R2,2018,expanded,low,6565100,2615800,3949300,TRUE,26--51506
189 - RM OF SPRINGFIELD,179100.000,604 MAIN ST,21,R2,2018,appeared,med,3027200,100900,2926300,TRUE,29-3-7777
156 - MUNICIPALITY OF NORTH NORFOLK,324100.000,66 VICTORIA ST,16,INST|OTHER|R2,2018,appeared,high,2819000,0,2819000,TRUE,B&C&D--54151
445 - MUNICIPALITY OF RUSSELL-BINSCARTH,88350.000,607 Main ST N,24,INST,2018,appeared,high,2695900,0,2695900,TRUE,1/24-61107
500 - CITY OF BRANDON,17194.000,512 PRINCESS AVE,24,R2,2018,appeared,high,2554600,0,2554600,TRUE,14/20-39-2
500 - CITY OF BRANDON,235697.000,Unit B - 4151 MCTAVISH AVE,12,R2,2018,new_roll,med,1722200,0,1722200,TRUE,3-59689
560 - CITY OF THOMPSON,227200.000,25A - 25C CAMBRIDGE ST,12,R2,2018,appeared,high,1357200,0,1357200,TRUE,1-2-56417
560 - CITY OF THOMPSON,225300.000,24A - 24B CAMBRIDGE ST,12,R2,2018,appeared,high,1345900,0,1345900,TRUE,1-1-56417
192 - RM OF PRAIRIE LAKES,83207.000,SPRUCE & PINE ST,18,R1,2018,new_roll,med,1276700,0,1276700,TRUE,DESC NE8-5-16W
152 - RM OF MORRIS,199675.000,14 SPRUCE CRES,12,INST,2018,expanded,low,2563600,1301900,1261700,TRUE,2--65537
175 - RM OF STE. ANNE,55214.000,71 - 83 GODARD ST,9,R2,2018,appeared,high,1158500,0,1158500,TRUE,2&7/11-2-15281
351 - TOWN OF STE. ANNE,42458.000,1 SEINE RIVER CROSSING RD,9,R2,2018,appeared,high,1023900,0,1023900,TRUE,15--56404
500 - CITY OF BRANDON,85654.000,553 2ND ST,8,R2,2018,appeared,high,990000,0,990000,TRUE,DESC 27/30-80-8
138 - RM OF LA BROQUERIE,114800.000,146 PRINCIPALE ST,11,R2,2018,expanded,low,1049500,84200,965300,TRUE,3-2-10672
433 - CITY OF MORDEN,42300.000,126 9TH ST S,16,R2,2018,expanded,low,1661500,838900,822600,TRUE,2--68675
192 - RM OF PRAIRIE LAKES,83209.000,NLSD,17,R1,2018,new_roll,med,747800,0,747800,FALSE,DESC NE8-5-16W
437 - TOWN OF NEEPAWA,123900.000,397 FIRST AVE,5,R2,2018,appeared,high,739200,0,739200,TRUE,1/3-4-26984
550 - CITY OF PORTAGE LA PRAIRIE,65450.000,Unit 540 - 560 13TH ST NW,8,R1,2018,expanded,low,999000,280600,718400,TRUE,A&B&D&E&F&G&H--21568
192 - RM OF PRAIRIE LAKES,83453.000,ANGEL POINT,8,R1,2018,new_roll,med,681800,0,681800,TRUE,DESC 1--22952
177 - RM OF ST. FRANCOIS XAVIER,111900.000,1005 26 HWY,8,R2,2018,appeared,high,618000,0,618000,TRUE,DESC IT183-FX-4600
162 - RM OF PIPESTONE,54870.000,THIRD AVE,4,R1,2018,appeared,high,613600,0,613600,TRUE,A--58138
433 - CITY OF MORDEN,38400.000,343 MOUNTAIN ST,3,INST,2018,expanded,low,796500,204200,592300,TRUE,18/20-24-855
500 - CITY OF BRANDON,63073.000,730 QUEENS AVE,4,R1,2018,appeared,high,545200,0,545200,TRUE,21/23-15-7
500 - CITY OF BRANDON,94102.000,947 1ST ST,4,R1,2018,appeared,high,523800,0,523800,TRUE,DESC 12/15-33-9
500 - CITY OF BRANDON,81224.000,741 6TH ST,4,R1,2018,appeared,high,509800,0,509800,TRUE,24/25-60-8
112 - RM OF CARTIER,123850.000,11 MAGLOIRE ST,21,R2,2018,expanded,low,944600,460100,484500,TRUE,1-31658
145 - MUNICIPALITY OF LOUISE,335060.000,6 - 12 NORTH RAILWAY AVE E,4,R1,2018,appeared,high,424300,0,424300,TRUE,M&N--59293
609 - MUNICIPALITY OF HARRISON PARK,97650.000,12 Victor AVE,6,R2,2018,appeared,high,421600,0,421600,TRUE,1--44176
206 - RM OF WOODLANDS,74100.000,10123 ROAD 82NW,17,OTHER|R1,2018,expanded,low,1199400,782700,416700,TRUE,DESC SW29-14-2W
138 - RM OF LA BROQUERIE,115515.000,52 - 62 PROMENADE JEANNE DR,6,R2,2018,appeared,high,413500,0,413500,FALSE,1--62627
192 - RM OF PRAIRIE LAKES,83211.000,SLSD,8,R1,2018,new_roll,med,403300,0,403300,TRUE,DESC NE8-5-16W
550 - CITY OF PORTAGE LA PRAIRIE,284000.000,70 3RD ST SE,4,R1,2018,appeared,high,402500,0,402500,TRUE,9-11-21428
500 - CITY OF BRANDON,32458.000,24 11TH ST,5,INST,2018,appeared,high,387200,0,387200,TRUE,DESC 6/8&LANE-79-2
449 - MUNICIPALITY OF SOURIS-GLENWOOD,3800.000,16 - 20 4TH AVE W,3,R1,2018,expanded,low,387300,27800,359500,TRUE,5--49571
449 - MUNICIPALITY OF SOURIS-GLENWOOD,4100.000,28 - 32 4TH AVE W,3,R1,2018,expanded,low,387300,51800,335500,TRUE,3--49571
451 - CITY OF STEINBACH,320300.000,98-100 - 102 CLEARWATER AVE,3,R1,2018,appeared,high,330800,0,330800,TRUE,9--54862
609 - MUNICIPALITY OF HARRISON PARK,51840.000,SPORTYS-OLD RED BARN,9,OTHER|R1,2018,expanded,low,485100,236000,249100,FALSE,5--5854
411 - CITY OF DAUPHIN,148700.000,815 MAIN ST S,3,R1,2018,appeared,high,223600,0,223600,TRUE,8-60-359
129 - RM OF GIMLI,355000.000,31 - 33 CENTRE ST,3,OTHER|R1,2018,expanded,low,353100,148900,204200,FALSE,DESC 31/32-5-17671L
461 - TOWN OF VIRDEN,27600.000,423 7TH AVE S,4,OTHER|R1,2018,expanded,low,387800,190700,197100,TRUE,DESC 19/20-82-2088
133 - RM OF GREY,87200.000,14 RAILWAY AVE,6,R2,2018,expanded,low,328000,136900,191100,TRUE,DESC 1/7--589
200 - MUNICIPALITY OF WESTLAKE-GLADSTONE,378700.000,113 BROADWAY AVE E,3,R1,2018,expanded,low,211200,37600,173600,TRUE,19/23-4-507
500 - CITY OF BRANDON,404608.000,801 FREDERICK ST,4,R1,2018,expanded,low,290500,136300,154200,TRUE,1/2-1382
433 - CITY OF MORDEN,125400.000,505 NORTH RAILWAY ST,3,R1,2018,expanded,low,318000,170100,147900,TRUE,11/12-46-863
162 - RM OF PIPESTONE,39000.000,125 - 133 SIXTH ST,4,R1,2018,expanded,low,279600,139000,140600,TRUE,DESC 12/15-6-68
500 - CITY OF BRANDON,28803.000,115 3RD ST,3,R1,2018,expanded,low,384600,253300,131300,FALSE,25/26-67-2
182 - MUNICIPALITY OF ROBLIN,346600.000,345 MAIN ST W,3,R1,2018,expanded,low,298700,179000,119700,TRUE,2--74120
400 - TOWN OF ALTONA,82000.000,20 1ST ST SE,3,R1,2018,expanded,low,216800,104500,112300,TRUE,22-1-1411
451 - CITY OF STEINBACH,40826.000,165 REIMER AVE W,8,R2,2018,expanded,low,213100,104900,108200,FALSE,4-23648
451 - CITY OF STEINBACH,40824.000,175 REIMER AVE W,8,R2,2018,expanded,low,222500,116700,105800,FALSE,3-23648
451 - CITY OF STEINBACH,40822.000,185 REIMER AVE W,8,R2,2018,expanded,low,222700,117100,105600,FALSE,2-23648
451 - CITY OF STEINBACH,134200.000,476 - 478 REIMER AVE,8,R1,2018,expanded,low,219800,115000,104800,TRUE,DESC C&D--9696
165 - RM OF RITCHOT,87100.000,359 DUFAULT DR,12,R2,2018,expanded,low,274000,172100,101900,FALSE,30-4930
500 - CITY OF BRANDON,35709.000,59 10TH ST N,4,R1,2018,expanded,low,312900,211000,101900,TRUE,22/24-91-2
500 - CITY OF BRANDON,31625.000,829 ROSSER AVE,8,OTHER|R1,2018,expanded,low,218300,117800,100500,FALSE,DESC 24/26-76-2
451 - CITY OF STEINBACH,40828.000,155 REIMER AVE W,8,R2,2018,expanded,low,257400,157000,100400,FALSE,5-23648
447 - CITY OF SELKIRK,288370.000,1027 MANITOBA AVE,270,R2,2017,appeared,high,16897600,163900,16733700,FALSE,1/2--59191
463 - CITY OF WINKLER,300.000,650 SOUTH RAILWAY AVE,96,INST|OTHER|R2,2017,appeared,high,15761300,0,15761300,TRUE,DESC A&B&C&D&E&F&G--64870
500 - CITY OF BRANDON,561944.000,2200 PACIFIC AVE,128,R2,2017,appeared,high,9933800,0,9933800,TRUE,B--46903
431 - TOWN OF MINNEDOSA,91100.000,WESTVIEW ESTATES,15,R1,2017,appeared,high,3102900,0,3102900,TRUE,1/2--57992
500 - CITY OF BRANDON,398545.000,531 QUEENS AVE E,21,R1|R2,2017,expanded,high,3084800,179300,2905500,TRUE,DESC 5-9-1128
194 - RM OF TACHE,107340.000,237 MARCOUX AVE,48,R2,2017,appeared,high,2512100,0,2512100,FALSE,1/48-59650
